"Pasture"|"AUM"||4.9|||||||"25727831"|"50402263"
"Corn silage"|"Tons"||17|||||||"25727831"|"50402264"
"Wheat"|"Bu"||40|||||||"25727831"|"50402266"
"Oats"|"Bu"||60|||||||"25727831"|"50402265"
"Grass-legume hay"|"Tons"||2.5|||||||"25727831"|"50402269"
"Soybeans"|"Bu"||30|||||||"25727831"|"50402267"
"Corn"|"Bu"||80|||||||"25727831"|"50402268"
"Pasture"|"AUM"||6.5|||||||"25727832"|"50402271"
"Alfalfa hay"|"Tons"||3.5|||||||"25727832"|"50402274"
"Corn silage"|"Tons"||23|||||||"25727832"|"50402277"
"Wheat"|"Bu"||55|||||||"25727832"|"50402273"
"Oats"|"Bu"||70|||||||"25727832"|"50402270"
"Grass-legume hay"|"Tons"||3|||||||"25727832"|"50402278"
"Soybeans"|"Bu"||50|||||||"25727832"|"50402272"
"Corn"|"Bu"||125|||||||"25727832"|"50402276"
"Barley"|"Bu"||60|||||||"25727832"|"50402275"
"Pasture"|"AUM"||6|||||||"25727833"|"50402283"
"Corn silage"|"Tons"||19|||||||"25727833"|"50402280"
"Wheat"|"Bu"||40|||||||"25727833"|"50402284"
"Oats"|"Bu"||60|||||||"25727833"|"50402282"
"Soybeans"|"Bu"||30|||||||"25727833"|"50402285"
"Grass-legume hay"|"Tons"||3|||||||"25727833"|"50402281"
"Corn"|"Bu"||95|||||||"25727833"|"50402279"
"Grass-legume hay"|"Tons"|2|2|2||||||"25727834"|"50402289"
"Pasture"|"AUM"|5|5|5||||||"25727834"|"50402290"
"Corn silage"|"Tons"|11|11|11||||||"25727834"|"50402288"
"Alfalfa hay"|"Tons"|2.5|2.5|2.5||||||"25727834"|"50402286"
"Wheat"|"Bu"|20|20|20||||||"25727834"|"50402292"
"Soybeans"|"Bu"|20|20|20||||||"25727834"|"50402291"
"Corn"|"Bu"|55|55|55||||||"25727834"|"50402287"
"Pasture"|"AUM"||4.9|||||||"25727835"|"50402295"
"Corn silage"|"Tons"||17|||||||"25727835"|"50402296"
"Wheat"|"Bu"||40|||||||"25727835"|"50402298"
"Oats"|"Bu"||60|||||||"25727835"|"50402297"
