"R"||"R"|||109|112|115|160|162|164||50||||||||||||||||||||||||0||||||||||||||||||||||||||0|0|0|||||||||||||||||1.41|5|10||||||||||||||||||||||||||||||0|0|0|0|0|0|0|0|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||"25727831"|"76732180"
"Ap"||"A"|||0|0|0|25|28|31||28||0|0|0|0|1|1|84|89|91|63|77|80|56|73|80|51|69|80|5|11.7|19.5|0.1|0.7|1.3|0.5|1.2|1.9|0.9|1.5|3|0.9|3.6|6.7|1.4|4.7|7|50.5|63.3|76.2|||||||9.2|25|32|0|0|0|1|2|3||||1.28|1.35|1.42||||1.35|1.42|1.51||4|7.76|14.11|0.19|0.2|0.22||||16.7|27|32.9|10.5|10.5|18.6|33|39|42|0.6|2.1|3|22|38|47|5|17|22|0|11|27|".43"|".43"|0|0|0|0|0|0|0|0|0|0|0|0|5|13.5|17.3||||1.3|9.8|18.3|5.6|6.2|6.8||||||||||1.3|5.5|8.6|||||||||||||||||||||"25727831"|"76732181"
"Cx"||"C"|||73|76|79|109|112|115||36||0|0|0|0|4|8|84|89|89|54|70|72|52|70|72|49|67|72|5|7|20|0|0|0|0|0|0|0.1|0.2|0.3|1.8|2|2.2|4.5|4.8|5|55|68|75|||||||15|25|30|0|0|0|0.02|0.25|0.5||||1.6|1.7|1.8||||1.71|1.81|1.92||1.41|7.7|14|0.08|0.1|0.12||||15.6|23.9|26.9|8.3|13.2|16.9|18|26|30|0|0|0|24|34|40|9|17|21|3|9|13|".28"|".49"|0|0|0|0|0|0|0|0|0|0|0|0||||4.6|9|14.9|5.9|9.6|12.8|5.2|5.4|6||||||||||0.8|5.7|7.9|||||||||||||||||||||"25727831"|"76732184"
"Btg"||"B"|||25|28|31|45|48|51||20||0|0|0|0|3|9|91|95|96|67|80|83|60|75|83|56|73|83|3.1|9.6|20|0|0.5|10|0.1|0.8|3.4|0.1|1.3|1.7|0.6|3|3.7|1.7|4|5.4|50|61|74.8|||||||21.1|29.4|40|0|0|0|0.5|0.75|1||||1.38|1.47|1.55||||1.61|1.7|1.78||1.41|2.82|4.23|0.14|0.17|0.2||||20.5|27.5|31.9|9.2|15.7|22.2|29|36|40|1.6|2.6|4.1|33|41|51|14|21|29|4|14|25|".49"|".49"|0|0|0|0|0|0|0|0|0|0|0|0|11.2|15.6|21.3||||3.2|12.5|19.8|5.4|5.7|6||||||||||4.6|6.5|8.7|||||||||||||||||||||"25727831"|"76732182"
"Btgx"||"B"|||45|48|51|73|76|79||28||0|0|0|0|4|8|92|96|96|71|83|83|64|83|83|61|80|83|4|6|20|0|0|0|0|0|0|0.1|0.2|0.3|1.4|1.7|1.8|4|4.1|4.5|51|59|75|||||||20|35|40|0|0|0|0.02|0.25|0.5||||1.65|1.77|1.88||||1.74|1.86|1.95||0.5|0.71|1.41|0.05|0.06|0.17||||19|25.7|25.8|13.1|21.5|25.6|20|27|31|0|0|0|29|43|49|13|24|28|7|18|24|".28"|".43"|0|0|0|0|0|0|0|0|0|0|0|0|10.1|18.3|21||||3.3|13.8|19.7|5.2|5.5|6||||||||||4.1|7.4|8.9|||||||||||||||||||||"25727831"|"76732183"
"Bt3"||"B"||3|42|48|52|52|56|68|5|8|19|0|0|0|2|9|14|65|79|95|63|78|94|53|72|94|40|57|79|17.6|32.3|43.2|0.1|2.2|3.5|0.1|3.9|6.5|0.3|7.7|15.5|1.9|9.5|20|4|9|16.5|27.9|46.7|64||22.1|||24.6||18|21|30|0|0|0|0.06|0.14|0.21||||1.54|1.58|1.61||||1.62|1.66|1.71|2.67|4|9|14|0.1|0.14|0.19||||15.7|23.1|31.4|6.6|10.9|17.5|22|31|40|1|1.4|2.2|28|31|39|12|14|21|0|5|15|".28"|".49"|0|0|0|0|0|0|0|0|0|0|0|0|10.7|10.8|10.9||||4.2|7.1|10.3|4.4|5.8|6.7|5.2|5.4|5.7|||||||2.2|4.9|9|||||||||||||||||||||"25727832"|"76732189"
"Cr"||"C"|||52|56|68|68|71|85|0|15|33|0|0|0|14|17|23|37|55|65|34|53|63|29|50|63|21|38|56|18.5|34.6|58.2|0.1|0.6|2|0.2|2.2|13|0.5|6.3|18|7|13.3|25|4|12.2|38|25.2|47.9|68||14.6|||33.3||13.2|17.5|19|0|0|0|0.02|0.12|0.24||||1.32|1.32|1.32||||1.39|1.39|1.42|2.67|1|5|9|0.04|0.11|0.19||||6.6|18|26.1|2|6.7|10.3|14|30|48|0.5|1.1|1.5|23|27|29|8|11|12|0|0|2|".20"|".55"|0|0|0|0|0|0|0|0|0|0|0|0|9.5|13.8|17.4||||4.6|11.1|17.2|4.6|5.6|7.2|4.2|5.1|6.2|||||||0.4|6.1|9.8|||||||||||||||||||||"25727832"|"76732190"
"Bt1"||"B"||1|1|25|30|30|38|42|10|13|30|0|0|0|2|4|7|84|91|94|83|90|94|73|86|94|58|72|85|16.5|24.9|41.4|0.1|0.8|3.5|0.1|2.5|6.5|0.3|5.2|15.5|1.9|8.1|20|4|8.3|16.5|31.7|51.9|65.5||22.1|||29.8||18|23.2|33.5|0|0|0|0.06|0.36|1.12||||1.36|1.46|1.56||||1.45|1.55|1.58|2.67|4|9|14|0.12|0.17|0.22||||15.7|23.8|33.5|6.3|11.5|21|23|35|46|1.3|1.8|2.4|28|33|44|12|16|23|0|9|20|".49"|".49"|0|0|0|0|0|0|0|0|0|0|0|0|10.7|10.8|10.9||||4.2|7.3|10.9|4.4|5.8|6.7|5.2|5.5|5.7|||||||2.2|5|9.6|||||||||||||||||||||"25727832"|"76732187"
"Bt2"||"B"||2|30|38|42|42|48|52|8|10|22|0|0|0|2|5|6|85|89|94|84|88|94|73|85|94|60|72|87|16.5|22.5|43.2|0.1|0.7|3.5|0.1|2.3|6.5|0.3|4.9|15.5|1.9|7.2|20|4|7.4|16.5|30.9|52.4|65||22.1|||30.3||18.5|25.1|34.8|0|0|0|0.06|0.36|1.12||||1.36|1.51|1.66||||1.45|1.6|1.75|2.67|4|9|14|0.12|0.17|0.22||||15.8|24.6|34.3|6.6|12.7|22.5|21|33|46|1.3|1.8|2.4|28|35|45|12|17|24|0|10|21|".49"|".49"|0|0|0|0|0|0|0|0|0|0|0|0|10.7|10.8|10.9||||4.2|7.3|10.9|4.4|5.8|6.7|5.2|5.4|5.7|||||||2.2|5|9.6|||||||||||||||||||||"25727832"|"76732188"
"Ap"||"A"|||0|0|0|1|25|30|13|25|30|0|0|0|1|3|8|83|94|98|83|94|97|73|90|97|59|76|89|13.5|23.3|43|0.1|0.6|3.5|0.1|2.2|6.5|0.3|5|15.5|1.9|7.6|20|4|7.9|16.5|38.7|59.9|74||28|||31.9||12.1|16.8|25|0|0|0|1.51|4.46|11.74||||1.24|1.33|1.42||||1.31|1.4|1.45|2.6|4|9|14|0.18|0.2|0.22||||21|27.7|36.6|7.4|14|27.1|33|40|47|1.1|1.7|2.7|26|37|60|7|11|16|0|8|19|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|11.3|13.9|15.9||||5.6|9.5|17.4|5.5|6.4|7.7|5|5.3|5.5|||||||0.3|6.5|14.3|||||||||||||||||||||"25727832"|"76732186"
"R"||"R"|||68|71|85|93|96|110|25|25|100||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|1|2||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"25727832"|"76732185"
