|"Bedrock"|"155520381"|"158172990"
"Silt loam"||"155520382"|"158172851"
"Silty clay loam"||"155520383"|"158171885"
"Silty clay loam"||"155520391"|"158172989"
"Silt loam"||"155520392"|"158172853"
"Silt loam"||"155520384"|"158174107"
"Silt loam"||"155520385"|"158174105"
"Silty clay loam"||"155520386"|"158174106"
"Silt loam"||"155520387"|"158174108"
"Silty clay loam"||"155520388"|"158171886"
"Silt loam"||"155520389"|"158172852"
"Silty clay loam"||"155520390"|"158171887"
"Silt loam"||"155520404"|"158172994"
"Loam"||"155520405"|"158172995"
"Silty clay loam"||"155520406"|"158172858"
"Clay loam"||"155520407"|"158171890"
|"Bedrock"|"155520408"|"158172993"
"Silt loam"||"155520396"|"158174112"
"Loam"||"155520397"|"158174113"
"Silty clay loam"||"155520398"|"158174114"
"Clay loam"||"155520399"|"158172861"
"Silty clay loam"||"155520400"|"158172860"
"Silt loam"||"155520401"|"158172859"
"Loam"||"155520402"|"158171891"
"Clay loam"||"155520403"|"158174111"
"Silt loam"||"155520394"|"158171892"
"Loam"||"155520395"|"158172862"
|"Bedrock"|"155520393"|"158172857"
"Silt loam"||"155520412"|"158172987"
"Loam"||"155520413"|"158171893"
|"Bedrock"|"155520411"|"158172850"
"Silt loam"||"155520416"|"158170821"
"Silty clay loam"||"155520417"|"158172997"
"Silt loam"||"155520409"|"158171884"
"Loam"||"155520410"|"158171894"
"Silt loam"||"155520414"|"158172988"
"Silty clay loam"||"155520415"|"158172996"
"Loam"||"155520419"|"158171099"
"Silt loam"||"155520420"|"158171100"
"Loam"||"155520421"|"158171497"
"Silt loam"||"155520422"|"158170916"
|"Bedrock"|"155520418"|"158171498"
|"Bedrock"|"155520434"|"158173016"
"Silt loam"||"155520428"|"158172877"
"Silty clay loam"||"155520429"|"158171909"
"Silt loam"||"155520430"|"158172878"
"Silty clay loam"||"155520431"|"158173013"
"Silt loam"||"155520425"|"158171908"
"Silt loam"||"155520426"|"158174129"
"Silty clay loam"||"155520427"|"158174130"
"Silt loam"||"155520432"|"158173014"
"Silty clay loam"||"155520433"|"158173015"
"Silt loam"||"155520423"|"158174127"
"Silty clay loam"||"155520424"|"158174128"
"Silt loam"||"155520446"|"158174126"
"Loam"||"155520447"|"158172872"
"Silty clay loam"||"155520448"|"158171904"
"Clay loam"||"155520449"|"158172873"
|"Bedrock"|"155520450"|"158174125"
"Silt loam"||"155520438"|"158173011"
"Loam"||"155520439"|"158173012"
"Silty clay loam"||"155520440"|"158172875"
"Clay loam"||"155520441"|"158171906"
"Silt loam"||"155520442"|"158171905"
"Loam"||"155520443"|"158172874"
"Silty clay loam"||"155520444"|"158173009"
"Clay loam"||"155520445"|"158173010"
|"Bedrock"|"155520435"|"158174124"
"Silt loam"||"155520436"|"158172876"
"Loam"||"155520437"|"158171907"
"Silt loam"||"155520452"|"158173005"
"Loam"||"155520453"|"158173006"
|"Bedrock"|"155520451"|"158174123"
"Silt loam"||"155520456"|"158171902"
"Silty clay loam"||"155520457"|"158172870"
"Silt loam"||"155520458"|"158171903"
"Loam"||"155520459"|"158172871"
"Silt loam"||"155520454"|"158173007"
"Silty clay loam"||"155520455"|"158173008"
"Silty clay loam"||"155515670"|"158171596"
"Silt loam"||"155515671"|"158171926"
"Silty clay loam"||"155515672"|"158172562"
"Silty clay loam"||"155515673"|"158171028"
"Loam"||"155515674"|"158171595"
"Sandy clay loam"||"155515675"|"158171925"
"Silt loam"||"155515676"|"158171027"
"Sand"||"155515669"|"158172563"
|"Gravel"|"155515669"|"158172564"
"Sand"||"155515683"|"158165609"
|"Gravel"|"155515683"|"158165610"
"Silty clay loam"||"155515677"|"158166114"
"Silty clay loam"||"155515678"|"158166115"
"Sandy clay loam"||"155515679"|"158166116"
"Silt loam"||"155515684"|"158166113"
"Fine sandy loam"||"155515680"|"158165779"
"Sandy loam"||"155515681"|"158165608"
"Silt loam"||"155515682"|"158165780"
"Silt loam"||"155515690"|"158165950"
"Silty clay loam"||"155515691"|"158165951"
"Clay loam"||"155515692"|"158165952"
"Silt loam"||"155515689"|"158165949"
"Sand"||"155515688"|"158165782"
"Sandy loam"||"155515688"|"158165783"
"Sandy loam"||"155515685"|"158165611"
"Sandy loam"||"155515686"|"158165781"
"Loam"||"155515687"|"158165612"
|"Bedrock"|"155515967"|"158167846"
"Silt loam"||"155515966"|"158169833"
"Silt loam"||"155515962"|"158169834"
"Silty clay loam"||"155515963"|"158169835"
"Silt loam"||"155515964"|"158169836"
"Silty clay loam"||"155515965"|"158169015"
"Silt loam"||"155515973"|"158169422"
"Loam"||"155515974"|"158171153"
"Silt loam"||"155515970"|"158171154"
"Loam"||"155515971"|"158171155"
"Silt loam"||"155515972"|"158171156"
"Silt loam"||"155515975"|"158171667"
"Silt loam"||"155515968"|"158169421"
"Silty clay loam"||"155515969"|"158171668"
"Silt loam"||"155515976"|"158167894"
"Silt loam"||"155515977"|"158167895"
"Silty clay loam"||"155515978"|"158167896"
"Silt loam"||"155515982"|"158168095"
"Loam"||"155515983"|"158168243"
"Silt loam"||"155515984"|"158168244"
"Silt loam"||"155515979"|"158167568"
"Silty clay loam"||"155515980"|"158168094"
"Loam"||"155515981"|"158167569"
"Sand"||"155516174"|"158170454"
|"Gravel"|"155516174"|"158170455"
"Sandy loam"||"155516175"|"158169941"
"Silty clay loam"||"155516171"|"158169084"
"Fine sandy loam"||"155516172"|"158170453"
"Silt loam"||"155516173"|"158169085"
"Silt loam"||"155516167"|"158169232"
"Clay loam"||"155516168"|"158169233"
"Sandy clay loam"||"155516169"|"158169234"
"Silty clay loam"||"155516170"|"158171465"
"Silt loam"||"155516166"|"158169231"
"Silt loam"||"155516176"|"158170043"
"Silty clay loam"||"155516177"|"158170044"
"Silt loam"||"155516180"|"158170042"
"Silt loam"||"155516178"|"158170045"
"Silty clay loam"||"155516179"|"158168109"
"Silt loam"||"155516182"|"158171924"
"Loam"||"155516183"|"158171594"
"Silt loam"||"155516184"|"158172561"
"Silt loam"||"155516185"|"158171923"
"Loam"||"155516186"|"158171593"
"Silt loam"||"155516181"|"158171025"
"Silt loam"||"155516187"|"158171026"
"Silty clay loam"||"155516188"|"158171592"
